raw_s,wall_s,kind,jump_ms
52800.361,1781235522.878,hb,
52860.396,1781235582.909,hb,
52920.428,1781235642.938,hb,
52980.462,1781235702.967,hb,
53040.493,1781235762.995,hb,
53100.528,1781235823.026,hb,
53160.557,1781235883.052,hb,
53220.591,1781235943.082,hb,
53280.624,1781236003.111,hb,
53340.655,1781236063.139,hb,
53400.689,1781236123.169,hb,
53460.722,1781236183.198,hb,
53520.756,1781236243.228,hb,
53580.787,1781236303.255,hb,
53640.819,1781236363.283,hb,
53700.848,1781236423.310,hb,
53760.879,1781236483.337,hb,
53820.912,1781236543.366,hb,
53880.946,1781236603.396,hb,
53940.977,1781236663.423,hb,
54001.010,1781236723.453,hb,
54061.042,1781236783.480,hb,
54121.074,1781236843.509,hb,
54181.104,1781236903.536,hb,
54241.135,1781236963.562,hb,
54301.164,1781237023.589,hb,
54361.196,1781237083.616,hb,
54421.228,1781237143.645,hb,
54481.260,1781237203.674,hb,
54541.292,1781237263.701,hb,
54601.324,1781237323.730,hb,
54661.358,1781237383.760,hb,
54721.388,1781237443.786,hb,
54781.422,1781237503.817,hb,
54841.455,1781237563.846,hb,
54901.486,1781237623.874,hb,
54961.515,1781237683.899,hb,
55021.546,1781237743.926,hb,
55081.577,1781237803.953,hb,
55141.603,1781237863.976,hb,
55201.632,1781237924.001,hb,
