raw_s,wall_s,kind,jump_ms
288912.667,1781471620.728,hb,
288972.667,1781471680.767,hb,
289032.693,1781471740.798,hb,
289092.724,1781471800.826,hb,
289152.754,1781471860.853,hb,
289212.782,1781471920.878,hb,
289272.810,1781471980.904,hb,
289332.844,1781472040.933,hb,
289392.877,1781472100.960,hb,
289452.907,1781472160.987,hb,
289512.938,1781472221.014,hb,
289572.967,1781472281.039,hb,
289632.997,1781472341.065,hb,
289693.028,1781472401.091,hb,
289753.040,1781472461.100,hb,
289813.063,1781472521.120,hb,
289873.094,1781472581.146,hb,
289933.128,1781472641.176,hb,
289993.160,1781472701.204,hb,
290053.191,1781472761.232,hb,
290113.225,1781472821.261,hb,
290173.253,1781472881.286,hb,
290233.281,1781472941.310,hb,
290293.310,1781473001.336,hb,
290353.338,1781473061.360,hb,
290413.370,1781473121.388,hb,
290473.398,1781473181.413,hb,
290533.428,1781473241.438,hb,
290593.455,1781473301.462,hb,
290653.483,1781473361.487,hb,
290713.513,1781473421.513,hb,
290773.541,1781473481.537,hb,
290833.571,1781473541.563,hb,
290893.601,1781473601.590,hb,
290953.628,1781473661.612,hb,
291013.653,1781473721.634,hb,
291073.680,1781473781.657,hb,
291133.705,1781473841.679,hb,
291193.734,1781473901.704,hb,
291253.757,1781473961.724,hb,
291313.783,1781474021.746,hb,
291373.809,1781474081.769,hb,
291433.834,1781474141.789,hb,
291493.860,1781474201.812,hb,
291553.888,1781474261.837,hb,
291613.918,1781474321.863,hb,
291673.947,1781474381.887,hb,
291733.976,1781474441.913,hb,
291794.003,1781474501.936,hb,
291854.031,1781474561.961,hb,
291914.061,1781474621.987,hb,
291974.092,1781474682.015,hb,
292034.119,1781474742.038,hb,
292094.147,1781474802.062,hb,
292154.175,1781474862.086,hb,
292214.204,1781474922.112,hb,
292274.237,1781474982.141,hb,
292334.269,1781475042.169,hb,
292394.299,1781475102.196,hb,
292454.331,1781475162.224,hb,
292514.360,1781475222.250,hb,
292574.388,1781475282.274,hb,
292634.420,1781475342.302,hb,
292694.455,1781475402.333,hb,
292754.488,1781475462.362,hb,
292814.515,1781475522.386,hb,
292874.544,1781475582.412,hb,
292934.573,1781475642.437,hb,
292994.602,1781475702.462,hb,
293054.631,1781475762.487,hb,
293114.663,1781475822.516,hb,
293174.692,1781475882.541,hb,
293234.722,1781475942.567,hb,
293294.752,1781476002.594,hb,
293354.783,1781476062.621,hb,
293414.815,1781476122.649,hb,
293474.845,1781476182.676,hb,
293534.877,1781476242.703,hb,
293594.905,1781476302.729,hb,
293654.936,1781476362.756,hb,
293714.966,1781476422.782,hb,
293774.997,1781476482.809,hb,
293835.027,1781476542.835,hb,
293895.058,1781476602.863,hb,
293955.091,1781476662.892,hb,
294015.124,1781476722.921,hb,
294075.153,1781476782.947,hb,
294135.184,1781476842.974,hb,
294195.214,1781476903.000,hb,
294255.244,1781476963.027,hb,
294315.275,1781477023.054,hb,
294375.308,1781477083.083,hb,
294435.341,1781477143.113,hb,
294495.371,1781477203.139,hb,
294555.403,1781477263.168,hb,
294615.436,1781477323.197,hb,
294675.466,1781477383.223,hb,
294735.500,1781477443.254,hb,
294795.533,1781477503.283,hb,
294855.562,1781477563.308,hb,
294915.590,1781477623.332,hb,
294975.621,1781477683.360,hb,
295035.650,1781477743.385,hb,
295095.679,1781477803.411,hb,
295155.711,1781477863.439,hb,
295215.742,1781477923.466,hb,
295275.772,1781477983.492,hb,
295335.792,1781478043.509,hb,
295395.819,1781478103.533,hb,
295455.849,1781478163.558,hb,
295515.881,1781478223.587,hb,
295575.912,1781478283.614,hb,
295635.943,1781478343.641,hb,
295695.973,1781478403.668,hb,
295756.006,1781478463.697,hb,
295816.038,1781478523.725,hb,
295876.070,1781478583.754,hb,
295936.104,1781478643.785,hb,
295996.140,1781478703.817,hb,
