raw_s,wall_s,kind,wall_elapsed_ms,raw_elapsed_ms
382599.609,1781565301.959,hb,,
382659.678,1781565362.024,hb,,
382719.747,1781565422.088,hb,,
382779.818,1781565482.154,hb,,
382839.890,1781565542.221,hb,,
382899.960,1781565602.286,hb,,
382960.029,1781565662.351,hb,,
383020.097,1781565722.415,hb,,
383080.168,1781565782.481,hb,,
383140.238,1781565842.546,hb,,
383200.309,1781565902.612,hb,,
383260.379,1781565962.677,hb,,
383320.449,1781566022.743,hb,,
383380.520,1781566082.809,hb,,
383440.588,1781566142.873,hb,,
383500.659,1781566202.938,hb,,
383560.728,1781566263.003,hb,,
383620.796,1781566323.067,hb,,
383680.867,1781566383.133,hb,,
383740.939,1781566443.200,hb,,
383801.009,1781566503.265,hb,,
383861.079,1781566563.331,hb,,
383921.150,1781566623.397,hb,,
383981.220,1781566683.462,hb,,
384041.290,1781566743.528,hb,,
384101.359,1781566803.592,hb,,
384161.429,1781566863.657,hb,,
384221.500,1781566923.724,hb,,
384281.566,1781566983.786,hb,,
384341.634,1781567043.849,hb,,
384401.705,1781567103.915,hb,,
384461.774,1781567163.979,hb,,
384521.843,1781567224.044,hb,,
384581.913,1781567284.109,hb,,
384641.983,1781567344.174,hb,,
384702.051,1781567404.237,hb,,
384762.121,1781567464.302,hb,,
384822.190,1781567524.367,hb,,
384882.260,1781567584.432,hb,,
384942.330,1781567644.498,hb,,
385002.401,1781567704.564,hb,,
385062.472,1781567764.630,hb,,
385122.542,1781567824.696,hb,,
385182.610,1781567884.759,hb,,
385242.677,1781567944.822,hb,,
385302.748,1781568004.887,hb,,
385362.817,1781568064.952,hb,,
385422.886,1781568125.017,hb,,
385482.955,1781568185.081,hb,,
385543.024,1781568245.145,hb,,
385603.092,1781568305.208,hb,,
385663.160,1781568365.272,hb,,
385723.229,1781568425.337,hb,,
385783.300,1781568485.403,hb,,
385843.371,1781568545.469,hb,,
385903.442,1781568605.535,hb,,
385963.513,1781568665.601,hb,,
386023.584,1781568725.667,hb,,
386083.654,1781568785.733,hb,,
386143.724,1781568845.798,hb,,
386203.764,1781568905.863,hb,,
386263.807,1781568965.930,hb,,
386323.865,1781569025.999,hb,,
386383.927,1781569086.067,hb,,
386443.998,1781569146.134,hb,,
386504.075,1781569206.199,hb,,
386564.145,1781569266.264,hb,,
386624.214,1781569326.331,hb,,
386684.281,1781569386.397,hb,,
386744.357,1781569446.462,hb,,
386804.428,1781569506.527,hb,,
386864.495,1781569566.591,hb,,
386924.563,1781569626.656,hb,,
386984.636,1781569686.722,hb,,
387044.707,1781569746.789,hb,,
387104.775,1781569806.853,hb,,
387164.844,1781569866.919,hb,,
387224.913,1781569926.984,hb,,
387284.981,1781569987.047,hb,,
387345.050,1781570047.112,hb,,
387405.119,1781570107.178,hb,,
387465.188,1781570167.243,hb,,
387525.259,1781570227.310,hb,,
387585.329,1781570287.376,hb,,
387645.397,1781570347.440,hb,,
387705.466,1781570407.506,hb,,
387765.535,1781570467.570,hb,,
387825.604,1781570527.636,hb,,
387885.674,1781570587.702,hb,,
387945.742,1781570647.767,hb,,
388005.809,1781570707.830,hb,,
388065.878,1781570767.895,hb,,
388125.947,1781570827.961,hb,,
388186.016,1781570888.026,hb,,
388246.086,1781570948.092,hb,,
388306.154,1781571008.157,hb,,
388366.222,1781571068.220,hb,,
388426.291,1781571128.286,hb,,
388486.360,1781571188.352,hb,,
388546.428,1781571248.416,hb,,
388606.498,1781571308.482,hb,,
388666.567,1781571368.547,hb,,
388726.636,1781571428.613,hb,,
388786.704,1781571488.677,hb,,
388846.773,1781571548.742,hb,,
388906.841,1781571608.807,hb,,
388966.909,1781571668.871,hb,,
389026.978,1781571728.937,hb,,
389087.046,1781571789.001,hb,,
389147.113,1781571849.064,hb,,
389207.183,1781571909.130,hb,,
389267.250,1781571969.194,hb,,
389327.318,1781572029.258,hb,,
389387.387,1781572089.324,hb,,
389447.454,1781572149.387,hb,,
389507.523,1781572209.452,hb,,
389567.591,1781572269.517,hb,,
389627.660,1781572329.582,hb,,
389687.729,1781572389.647,hb,,
389747.797,1781572449.712,hb,,
389807.865,1781572509.776,hb,,
389867.933,1781572569.840,hb,,
389928.001,1781572629.904,hb,,
389988.069,1781572689.968,hb,,
390048.135,1781572750.031,hb,,
390108.203,1781572810.095,hb,,
390168.272,1781572870.160,hb,,
390228.338,1781572930.223,hb,,
390288.407,1781572990.288,hb,,
390348.475,1781573050.353,hb,,
390408.544,1781573110.418,hb,,
390468.612,1781573170.482,hb,,
390528.681,1781573230.548,hb,,
390588.751,1781573290.614,hb,,
390648.821,1781573350.680,hb,,
390708.890,1781573410.746,hb,,
390768.959,1781573470.811,hb,,
390829.028,1781573530.876,hb,,
390889.096,1781573590.941,hb,,
390949.165,1781573651.006,hb,,
391009.235,1781573711.072,hb,,
391069.304,1781573771.138,hb,,
391129.372,1781573831.202,hb,,
391189.441,1781573891.268,hb,,
391249.509,1781573951.332,hb,,
391309.579,1781574011.398,hb,,
391369.647,1781574071.462,hb,,
391429.717,1781574131.528,hb,,
391489.786,1781574191.594,hb,,
