raw_s,wall_s,offset_ms,delay_ms,err
16022.411,1781198746.814,359.892,0.356,
16023.412,1781198747.815,359.938,0.313,
16024.412,1781198748.815,359.963,0.412,
16025.382,1781198749.819,325.204,0.424,
16026.341,1781198750.817,286.392,0.387,
16027.305,1781198751.815,252.291,0.422,
16028.275,1781198752.815,222.273,0.383,
16029.256,1781198753.823,195.716,0.269,
16030.226,1781198754.816,172.566,0.588,
16031.211,1781198755.821,152.262,0.462,
16032.204,1781198756.833,134.316,0.351,
16033.176,1781198757.820,118.880,0.411,
16034.160,1781198758.817,105.253,0.366,
16035.149,1781198759.818,93.267,0.372,
16036.146,1781198760.825,82.696,0.409,
16037.129,1781198761.818,73.569,0.352,
16038.120,1781198762.816,65.570,0.337,
16039.113,1781198763.817,58.520,0.334,
16040.108,1781198764.818,52.337,0.413,
16041.101,1781198765.816,46.958,0.407,
16042.096,1781198766.815,42.222,0.385,
16043.092,1781198767.816,38.088,0.380,
16044.091,1781198768.818,34.479,0.368,
16045.086,1781198769.816,31.339,0.374,
16046.082,1781198770.816,28.566,0.430,
16047.080,1781198771.816,26.186,0.369,
16048.080,1781198772.817,24.073,0.356,
16049.076,1781198773.816,22.242,0.399,
16050.074,1781198774.815,20.680,0.378,
16051.073,1781198775.815,19.275,0.412,
16052.072,1781198776.815,18.047,0.363,
16053.071,1781198777.815,16.977,0.368,
16054.070,1781198778.815,16.047,0.355,
16055.069,1781198779.815,15.260,0.348,
16056.069,1781198780.815,14.539,0.382,
16057.068,1781198781.815,13.647,0.415,
16058.067,1781198782.815,12.677,0.430,
16059.066,1781198783.815,11.770,0.441,
16060.066,1781198784.816,10.962,0.406,
16061.065,1781198785.815,10.182,0.401,
16062.064,1781198786.815,9.457,0.376,
16063.063,1781198787.815,8.773,0.389,
16064.063,1781198788.816,8.078,0.392,
16065.062,1781198789.815,7.470,0.367,
16066.061,1781198790.815,6.921,0.260,
16067.061,1781198791.815,6.332,0.366,
16068.061,1781198792.815,5.802,0.371,
16069.060,1781198793.815,5.314,0.360,
16070.060,1781198794.815,4.841,0.337,
16071.059,1781198795.815,4.383,0.354,
16072.059,1781198796.816,3.960,0.342,
16073.059,1781198797.815,3.540,0.420,
16074.058,1781198798.815,3.150,0.314,
16075.058,1781198799.815,2.848,0.356,
16076.058,1781198800.815,2.492,0.398,
16077.057,1781198801.815,2.123,0.412,
16078.057,1781198802.815,1.863,0.245,
16079.057,1781198803.815,1.547,0.382,
16080.057,1781198804.815,1.272,0.388,
16081.056,1781198805.815,0.978,0.358,
16082.056,1781198806.815,0.732,0.384,
16083.056,1781198807.815,0.505,0.423,
16084.056,1781198808.815,0.277,0.403,
16085.056,1781198809.815,0.054,0.309,
16086.056,1781198810.815,-0.170,0.336,
16087.055,1781198811.815,-0.402,0.329,
16088.055,1781198812.815,-0.628,0.354,
16089.055,1781198813.815,-0.760,0.379,
16090.055,1781198814.815,-0.965,0.371,
16091.055,1781198815.815,-1.147,0.392,
16092.055,1781198816.815,-1.280,0.345,
16093.055,1781198817.815,-1.478,0.360,
16094.055,1781198818.815,-1.600,0.431,
16095.055,1781198819.815,-1.790,0.377,
16096.054,1781198820.815,-1.930,0.351,
16097.054,1781198821.815,-2.015,0.283,
16098.054,1781198822.815,-1.974,0.473,
16099.054,1781198823.815,-2.096,0.385,
16100.054,1781198824.815,-2.282,0.495,
16101.054,1781198825.815,-2.399,0.444,
16102.054,1781198826.815,-2.477,0.390,
16103.054,1781198827.815,-2.617,0.369,
16104.054,1781198828.815,-2.765,0.441,
16105.054,1781198829.815,-2.859,0.386,
16106.054,1781198830.815,-2.971,0.370,
16107.054,1781198831.815,-3.085,0.396,
16108.054,1781198832.815,-3.201,0.411,
16109.054,1781198833.815,-3.325,0.445,
16110.054,1781198834.815,-3.384,0.388,
16111.054,1781198835.815,-3.489,0.385,
16112.053,1781198836.815,-3.589,0.364,
16113.053,1781198837.815,-3.703,0.332,
16114.053,1781198838.815,-3.796,0.427,
16115.053,1781198839.815,-3.880,0.366,
16116.053,1781198840.815,-4.016,0.363,
16117.053,1781198841.815,-4.082,0.370,
16118.053,1781198842.815,-4.141,0.331,
16119.053,1781198843.815,-4.255,0.378,
16120.053,1781198844.815,-4.348,0.368,
16121.053,1781198845.815,-4.425,0.378,
16122.053,1781198846.815,-4.358,0.384,
16123.053,1781198847.815,-4.287,0.393,
16124.053,1781198848.815,-4.255,0.429,
16125.054,1781198849.815,-4.160,0.353,
16126.054,1781198850.815,-4.103,0.359,
