raw_s,wall_s,kind,jump_ms
5467.445,1781188193.178,hb,
5527.477,1781188253.210,hb,
5587.502,1781188313.241,hb,
5647.538,1781188373.274,hb,
5707.575,1781188433.312,hb,
5767.602,1781188493.343,hb,
5827.633,1781188553.378,hb,
5887.671,1781188613.410,hb,
5947.707,1781188673.441,hb,
6007.644,1781188733.457,jump,79.995
6007.744,1781188733.557,hb,
6008.348,1781188734.159,jump,-1.178
6008.449,1781188734.259,jump,-1.179
6008.551,1781188734.359,jump,-1.181
6008.652,1781188734.460,jump,-1.179
6008.754,1781188734.560,jump,-1.181
6008.855,1781188734.660,jump,-1.181
6008.957,1781188734.760,jump,-1.179
6009.058,1781188734.861,jump,-1.179
6009.159,1781188734.961,jump,-1.180
6009.261,1781188735.061,jump,-1.098
6009.362,1781188735.161,jump,-1.037
6009.463,1781188735.262,jump,-1.038
6009.565,1781188735.362,jump,-1.037
6009.666,1781188735.462,jump,-1.036
6009.767,1781188735.562,jump,-1.037
6009.868,1781188735.662,jump,-1.036
6009.969,1781188735.763,jump,-1.037
6010.071,1781188735.863,jump,-1.038
6010.172,1781188735.963,jump,-1.037
6067.866,1781188793.576,hb,
