raw_s,wall_s,kind,wall_elapsed_ms,raw_elapsed_ms
346561.488,1781529266.036,hb,,
346621.610,1781529326.102,hb,,
346681.678,1781529386.166,hb,,
346741.765,1781529446.230,hb,,
346801.829,1781529506.295,hb,,
346861.758,1781529566.358,hb,,
346921.761,1781529626.424,hb,,
346981.790,1781529686.488,hb,,
347041.848,1781529746.550,hb,,
347101.904,1781529806.615,hb,,
347162.077,1781529866.674,hb,,
347222.297,1781529926.734,hb,,
347282.300,1781529986.801,hb,,
347342.244,1781530046.871,hb,,
347402.488,1781530106.934,hb,,
347462.553,1781530167.001,hb,,
347522.702,1781530227.063,hb,,
347582.642,1781530287.130,hb,,
347642.818,1781530347.191,hb,,
347702.819,1781530407.259,hb,,
347762.801,1781530467.325,hb,,
347822.750,1781530527.422,hb,,
347882.998,1781530587.488,hb,,
347943.127,1781530647.549,hb,,
348003.243,1781530707.612,hb,,
348063.334,1781530767.673,hb,,
348123.427,1781530827.736,hb,,
348183.424,1781530887.810,hb,,
348243.252,1781530947.897,hb,,
348303.289,1781531007.533,hb,,
348363.149,1781531067.644,hb,,
348423.187,1781531127.712,hb,,
348483.224,1781531187.780,hb,,
348543.254,1781531247.846,hb,,
348603.255,1781531307.910,hb,,
348663.570,1781531367.970,hb,,
348723.705,1781531428.031,hb,,
348783.803,1781531488.095,hb,,
348843.896,1781531548.157,hb,,
348903.903,1781531608.225,hb,,
348963.952,1781531668.291,hb,,
349024.011,1781531728.357,hb,,
349084.074,1781531788.424,hb,,
349144.138,1781531848.487,hb,,
349204.205,1781531908.551,hb,,
349264.235,1781531968.616,hb,,
349324.218,1781532028.683,hb,,
349384.245,1781532088.750,hb,,
349444.285,1781532148.814,hb,,
349504.335,1781532208.881,hb,,
349564.386,1781532268.947,hb,,
349624.438,1781532329.014,hb,,
349684.471,1781532389.077,hb,,
349744.514,1781532449.143,hb,,
349804.564,1781532509.212,hb,,
349864.611,1781532569.277,hb,,
349925.008,1781532629.332,hb,,
349984.951,1781532689.405,hb,,
350045.025,1781532749.470,hb,,
350105.225,1781532809.528,hb,,
350165.306,1781532869.600,hb,,
350225.228,1781532929.665,hb,,
350285.453,1781532989.723,hb,,
350345.523,1781533049.786,hb,,
350405.541,1781533109.859,hb,,
350465.627,1781533169.923,hb,,
350525.656,1781533229.985,hb,,
350585.697,1781533290.047,hb,,
350645.767,1781533350.111,hb,,
350705.834,1781533410.176,hb,,
350765.893,1781533470.242,hb,,
350825.948,1781533530.307,hb,,
350886.006,1781533590.369,hb,,
350946.067,1781533650.434,hb,,
351006.126,1781533710.500,hb,,
351066.181,1781533770.564,hb,,
351126.234,1781533830.626,hb,,
351186.289,1781533890.691,hb,,
351246.343,1781533950.755,hb,,
351306.370,1781534010.826,hb,,
351366.410,1781534070.892,hb,,
351426.455,1781534130.957,hb,,
351486.503,1781534191.022,hb,,
351546.607,1781534251.082,hb,,
351606.698,1781534311.146,hb,,
351666.770,1781534371.209,hb,,
351726.835,1781534431.273,hb,,
351786.895,1781534491.336,hb,,
351846.955,1781534551.399,hb,,
351907.048,1781534611.462,hb,,
351967.149,1781534671.524,hb,,
352027.227,1781534731.588,hb,,
352087.506,1781534791.650,hb,,
352147.451,1781534851.741,hb,,
352207.532,1781534911.811,hb,,
352267.748,1781534971.871,hb,,
352327.781,1781535031.940,hb,,
352387.772,1781535092.010,hb,,
352447.841,1781535152.071,hb,,
352508.015,1781535212.133,hb,,
352568.163,1781535272.193,hb,,
352628.114,1781535332.279,hb,,
352688.209,1781535392.343,hb,,
352748.301,1781535452.404,hb,,
352808.393,1781535512.467,hb,,
352868.485,1781535572.528,hb,,
352928.571,1781535632.593,hb,,
352988.621,1781535692.657,hb,,
353048.554,1781535752.727,hb,,
353108.565,1781535812.798,hb,,
353168.595,1781535872.864,hb,,
353228.744,1781535932.925,hb,,
353288.834,1781535992.990,hb,,
353348.916,1781536053.056,hb,,
353408.994,1781536113.121,hb,,
353469.064,1781536173.184,hb,,
353529.134,1781536233.250,hb,,
353589.224,1781536293.315,hb,,
353649.330,1781536353.377,hb,,
353709.416,1781536413.439,hb,,
353769.494,1781536473.502,hb,,
353829.569,1781536533.569,hb,,
353889.596,1781536593.645,hb,,
353949.643,1781536653.710,hb,,
354009.703,1781536713.777,hb,,
354069.766,1781536773.842,hb,,
354129.795,1781536833.911,hb,,
354189.835,1781536893.978,hb,,
354249.889,1781536954.046,hb,,
354309.943,1781537014.110,hb,,
354370.042,1781537074.175,hb,,
354430.140,1781537134.235,hb,,
354490.222,1781537194.299,hb,,
354550.296,1781537254.364,hb,,
354610.353,1781537314.431,hb,,
354670.383,1781537374.496,hb,,
354730.431,1781537434.561,hb,,
354790.488,1781537494.626,hb,,
354850.549,1781537554.693,hb,,
354910.634,1781537614.757,hb,,
354970.708,1781537674.822,hb,,
355030.777,1781537734.887,hb,,
355090.843,1781537794.951,hb,,
355150.943,1781537855.013,hb,,
355211.036,1781537915.076,hb,,
355271.118,1781537975.141,hb,,
355331.193,1781538035.205,hb,,
355391.173,1781538095.282,hb,,
355451.152,1781538155.354,hb,,
