raw_s,wall_s,kind,wall_elapsed_ms,raw_elapsed_ms
96123.221,1781278843.077,hb,,
96183.290,1781278903.143,hb,,
96243.357,1781278963.206,hb,,
96303.425,1781279023.270,hb,,
96363.494,1781279083.335,hb,,
96423.561,1781279143.399,hb,,
96483.630,1781279203.464,hb,,
96543.700,1781279263.530,hb,,
96603.766,1781279323.592,hb,,
96663.836,1781279383.659,hb,,
96723.904,1781279443.723,hb,,
96783.972,1781279503.787,hb,,
96844.041,1781279563.853,hb,,
96904.110,1781279623.918,hb,,
96964.178,1781279683.983,hb,,
97024.247,1781279744.048,hb,,
97084.317,1781279804.114,hb,,
97144.386,1781279864.179,hb,,
97204.455,1781279924.244,hb,,
97264.523,1781279984.309,hb,,
97324.593,1781280044.375,hb,,
97384.662,1781280104.440,hb,,
97444.731,1781280164.506,hb,,
97504.801,1781280224.572,hb,,
97564.870,1781280284.638,hb,,
97624.939,1781280344.703,hb,,
97685.008,1781280404.768,hb,,
97745.077,1781280464.833,hb,,
97805.145,1781280524.898,hb,,
97865.214,1781280584.963,hb,,
97925.284,1781280645.029,hb,,
97985.353,1781280705.094,hb,,
98045.422,1781280765.160,hb,,
98105.491,1781280825.225,hb,,
98165.560,1781280885.291,hb,,
98225.628,1781280945.355,hb,,
98285.694,1781281005.417,hb,,
98345.764,1781281065.484,hb,,
98405.830,1781281125.546,hb,,
98465.898,1781281185.611,hb,,
98525.968,1781281245.676,hb,,
98586.036,1781281305.740,hb,,
98646.102,1781281365.803,hb,,
98706.171,1781281425.868,hb,,
98766.240,1781281485.934,hb,,
98826.309,1781281545.999,hb,,
98886.378,1781281606.065,hb,,
98946.448,1781281666.130,hb,,
99006.516,1781281726.195,hb,,
99066.584,1781281786.260,hb,,
99126.651,1781281846.323,hb,,
99186.720,1781281906.388,hb,,
99246.788,1781281966.452,hb,,
99306.856,1781282026.517,hb,,
99366.925,1781282086.582,hb,,
99426.995,1781282146.648,hb,,
99487.064,1781282206.714,hb,,
99547.132,1781282266.778,hb,,
99607.201,1781282326.843,hb,,
99667.270,1781282386.909,hb,,
99727.340,1781282446.975,hb,,
99787.407,1781282507.038,hb,,
99847.475,1781282567.103,hb,,
99907.544,1781282627.168,hb,,
99967.612,1781282687.232,hb,,
100027.680,1781282747.296,hb,,
100087.747,1781282807.360,hb,,
100147.815,1781282867.424,hb,,
100207.884,1781282927.489,hb,,
100267.951,1781282987.553,hb,,
100328.020,1781283047.618,hb,,
100388.090,1781283107.684,hb,,
100448.159,1781283167.750,hb,,
100508.229,1781283227.816,hb,,
100568.297,1781283287.881,hb,,
100628.367,1781283347.946,hb,,
100688.434,1781283408.010,hb,,
100748.502,1781283468.074,hb,,
100808.572,1781283528.140,hb,,
100868.641,1781283588.206,hb,,
100928.710,1781283648.271,hb,,
100988.779,1781283708.337,hb,,
101048.849,1781283768.403,hb,,
