raw_s,cpu_ns,mem_bytes,ntp_pkts
96896.406,67891000,1355776,10246
96956.435,68254000,1355776,10307
97016.464,68254000,1355776,10367
97076.493,68313000,1355776,10427
97136.523,68313000,1355776,10487
97196.552,68394000,1355776,10547
97256.583,68692000,1351680,10608
97316.613,68789000,1351680,10668
97376.642,68789000,1351680,10728
97436.672,68877000,1355776,10788
97496.701,69104000,1355776,10849
97556.731,69104000,1355776,10909
97616.760,69181000,1355776,10969
97676.789,69181000,1355776,11029
97736.819,69492000,1355776,11090
97796.849,69492000,1355776,11150
97856.879,69589000,1355776,11210
97916.909,69589000,1355776,11270
97976.939,69865000,1355776,11331
98036.970,69865000,1355776,11391
98097.001,69964000,1355776,11451
98157.032,70057000,1351680,11511
98217.061,70133000,1355776,11571
98277.090,70338000,1355776,11632
98337.119,70415000,1355776,11692
98397.149,70415000,1355776,11752
98457.178,70509000,1355776,11812
98517.208,70777000,1355776,11873
98577.237,70777000,1355776,11933
98637.267,70911000,1355776,11993
98697.296,70911000,1355776,12053
98757.325,71215000,1355776,12114
98817.355,71215000,1355776,12175
98877.384,71314000,1355776,12235
98937.413,71314000,1355776,12295
98997.443,71405000,1355776,12355
99057.472,71690000,1351680,12416
99117.501,71759000,1355776,12476
99177.531,71759000,1355776,12536
99237.560,71837000,1355776,12596
99297.590,72060000,1355776,12657
99357.620,72177000,1355776,12717
99417.649,72177000,1355776,12777
99477.679,72257000,1355776,12837
99537.708,72475000,1355776,12898
99597.738,72475000,1355776,12958
99657.767,72558000,1355776,13018
99717.796,72558000,1355776,13078
99777.826,72901000,1355776,13139
99837.855,72901000,1355776,13199
99897.885,72967000,1355776,13259
99957.915,73052000,1351680,13319
100017.945,73119000,1355776,13379
100077.975,73331000,1355776,13440
100138.004,73407000,1355776,13500
100198.035,73407000,1355776,13560
100258.064,73476000,1355776,13620
100318.093,73751000,1355776,13681
100378.122,73751000,1355776,13741
100438.153,73869000,1355776,13801
100498.183,73869000,1355776,13861
100558.213,74146000,1355776,13922
100618.242,74146000,1355776,13982
100678.272,74223000,1355776,14042
100738.302,74223000,1355776,14102
100798.331,74546000,1355776,14163
100858.361,74627000,1351680,14223
100918.391,74701000,1355776,14283
100978.420,74701000,1355776,14343
101038.450,74837000,1355776,14403
