raw_s,wall_s,offset_ms,delay_ms,err
12642.041,1781195367.011,-0.457,0.410,
12643.042,1781195368.012,-0.496,0.379,
12644.042,1781195369.012,-0.508,0.290,
12645.042,1781195370.022,-10.552,0.398,
12646.042,1781195371.021,-9.888,0.432,
12647.043,1781195372.021,-9.204,0.332,
12648.044,1781195373.021,-8.622,0.373,
12649.044,1781195374.022,-8.040,0.329,
12650.045,1781195375.022,-7.544,0.400,
12651.046,1781195376.022,-7.002,0.332,
12652.046,1781195377.022,-6.550,0.340,
12653.047,1781195378.022,-6.123,0.410,
12654.047,1781195379.022,-5.686,0.316,
12655.048,1781195380.022,-5.275,0.428,
12656.048,1781195381.022,-4.960,0.371,
12657.048,1781195382.022,-4.623,0.374,
12658.049,1781195383.022,-4.295,0.318,
12659.049,1781195384.022,-3.984,0.402,
12660.050,1781195385.022,-3.696,0.416,
12661.050,1781195386.022,-3.446,0.334,
12662.050,1781195387.022,-3.178,0.371,
12663.050,1781195388.022,-2.937,0.365,
12664.051,1781195389.022,-2.707,0.417,
12665.051,1781195390.022,-2.512,0.435,
12666.051,1781195391.022,-2.287,0.369,
12667.052,1781195392.022,-2.145,0.433,
12668.052,1781195393.022,-1.933,0.371,
12669.052,1781195394.022,-1.713,0.352,
12670.052,1781195395.022,-1.566,0.337,
12671.052,1781195396.022,-1.489,0.393,
12672.053,1781195397.022,-1.302,0.360,
12673.053,1781195398.022,-1.164,0.408,
12674.053,1781195399.022,-1.053,0.386,
12675.053,1781195400.022,-0.918,0.437,
12676.053,1781195401.022,-0.789,0.356,
12677.054,1781195402.022,-0.730,0.444,
12678.054,1781195403.022,-0.625,0.425,
12679.054,1781195404.021,-0.475,0.275,
12680.054,1781195405.022,-0.436,0.370,
12681.054,1781195406.022,-0.349,0.432,
12682.054,1781195407.022,-0.233,0.375,
12683.054,1781195408.022,-0.146,0.367,
12684.055,1781195409.022,-0.050,0.397,
12685.055,1781195410.022,0.001,0.425,
12686.055,1781195411.022,0.056,0.406,
12687.055,1781195412.022,0.159,0.403,
12688.055,1781195413.022,0.234,0.366,
12689.055,1781195414.022,0.267,0.380,
12690.056,1781195415.022,0.339,0.359,
12691.055,1781195416.022,0.403,0.410,
12692.056,1781195417.022,0.425,0.356,
12693.056,1781195418.022,0.484,0.432,
12694.056,1781195419.022,0.546,0.428,
12695.056,1781195420.022,0.593,0.358,
12696.056,1781195421.022,0.644,0.306,
12697.056,1781195422.022,0.713,0.465,
12698.056,1781195423.022,0.733,0.297,
12699.056,1781195424.022,0.776,0.419,
12700.057,1781195425.022,0.822,0.401,
12701.057,1781195426.022,0.854,0.339,
12702.057,1781195427.022,0.876,0.386,
12703.057,1781195428.022,0.896,0.409,
12704.057,1781195429.022,0.940,0.401,
12705.057,1781195430.022,0.997,0.369,
12706.057,1781195431.022,1.017,0.340,
12707.057,1781195432.022,1.068,0.358,
12708.057,1781195433.022,1.099,0.366,
12709.057,1781195434.022,1.124,0.371,
12710.057,1781195435.022,1.108,0.374,
12711.057,1781195436.022,1.079,0.346,
12712.057,1781195437.022,1.066,0.353,
12713.058,1781195438.022,1.038,0.401,
12714.058,1781195439.022,1.026,0.410,
12715.058,1781195440.022,1.043,0.294,
12716.058,1781195441.022,1.015,0.365,
12717.058,1781195442.022,0.983,0.346,
12718.058,1781195443.022,1.012,0.357,
12719.058,1781195444.022,0.980,0.365,
