raw_s,wall_s,offset_ms,delay_ms,err
31060.055,1781213783.036,863.871,0.351,
31061.056,1781213784.037,863.796,0.405,
31062.056,1781213785.037,863.751,0.259,
31063.056,1781213786.901,-0.094,0.322,
31064.057,1781213787.901,-0.098,0.424,
31065.057,1781213788.901,-0.199,0.308,
31066.056,1781213789.901,-0.241,0.349,
31067.056,1781213790.901,-0.284,0.292,
31068.057,1781213791.901,-0.357,0.336,
31069.057,1781213792.901,-0.398,0.324,
31070.057,1781213793.901,-0.432,0.367,
31071.056,1781213794.901,-0.506,0.337,
31072.057,1781213795.901,-0.556,0.338,
31073.057,1781213796.901,-0.626,0.361,
31074.057,1781213797.901,-0.678,0.368,
31075.057,1781213798.901,-0.736,0.360,
31076.057,1781213799.901,-0.777,0.398,
31077.057,1781213800.901,-0.829,0.368,
31078.057,1781213801.901,-0.876,0.366,
31079.057,1781213802.901,-0.937,0.360,
31080.057,1781213803.901,-1.001,0.402,
31081.057,1781213804.901,-1.034,0.445,
31082.057,1781213805.901,-1.050,0.450,
31083.057,1781213806.901,-1.133,0.373,
31084.057,1781213807.901,-1.207,0.333,
31085.057,1781213808.901,-1.238,0.348,
31086.057,1781213809.901,-1.315,0.422,
31087.057,1781213810.901,-1.351,0.392,
31088.057,1781213811.901,-1.404,0.400,
31089.057,1781213812.901,-1.453,0.380,
31090.057,1781213813.901,-1.509,0.412,
31091.057,1781213814.901,-1.568,0.447,
31092.057,1781213815.901,-1.593,0.363,
31093.057,1781213816.901,-1.638,0.442,
31094.057,1781213817.901,-1.687,0.410,
31095.057,1781213818.901,-1.749,0.345,
31096.057,1781213819.901,-1.684,0.466,
31097.057,1781213820.901,-1.670,0.403,
31098.057,1781213821.901,-1.614,0.345,
31099.057,1781213822.901,-1.566,0.328,
31100.057,1781213823.901,-1.551,0.376,
31101.057,1781213824.901,-1.513,0.358,
31102.057,1781213825.901,-1.501,0.388,
31103.058,1781213826.901,-1.476,0.385,
31104.058,1781213827.901,-1.475,0.380,
31105.058,1781213828.901,-1.458,0.409,
31106.058,1781213829.901,-1.462,0.397,
31107.058,1781213830.901,-1.442,0.366,
31108.058,1781213831.901,-1.449,0.356,
31109.058,1781213832.901,-1.446,0.313,
31110.058,1781213833.901,-1.450,0.407,
31111.058,1781213834.901,-1.437,0.377,
31112.058,1781213835.901,-1.480,0.350,
31113.058,1781213836.901,-1.497,0.352,
31114.058,1781213837.901,-1.515,0.391,
31115.058,1781213838.901,-1.548,0.383,
31116.058,1781213839.901,-1.526,0.373,
31117.058,1781213840.901,-1.565,0.331,
31118.058,1781213841.901,-1.597,0.389,
31119.058,1781213842.901,-1.616,0.410,
31120.058,1781213843.901,-1.660,0.371,
31121.058,1781213844.901,-1.675,0.397,
31122.058,1781213845.901,-1.724,0.354,
31123.059,1781213846.901,-1.756,0.344,
31124.059,1781213847.901,-1.776,0.409,
31125.059,1781213848.901,-1.816,0.355,
31126.059,1781213849.901,-1.871,0.382,
31127.059,1781213850.901,-1.873,0.401,
31128.059,1781213851.901,-1.934,0.349,
31129.059,1781213852.901,-1.965,0.381,
31130.059,1781213853.901,-2.012,0.355,
31131.059,1781213854.901,-2.036,0.392,
31132.059,1781213855.901,-2.083,0.330,
31133.059,1781213856.901,-2.135,0.344,
31134.059,1781213857.901,-2.197,0.401,
31135.059,1781213858.901,-2.224,0.353,
31136.059,1781213859.901,-2.261,0.354,
31137.059,1781213860.901,-2.283,0.329,
31138.059,1781213861.901,-2.346,0.349,
31139.059,1781213862.901,-2.335,0.332,
31140.059,1781213863.901,-2.406,0.365,
31141.059,1781213864.901,-2.483,0.373,
31142.059,1781213865.901,-2.526,0.364,
31143.059,1781213866.901,-2.569,0.420,
31144.059,1781213867.901,-2.621,0.349,
31145.059,1781213868.901,-2.685,0.397,
31146.059,1781213869.901,-2.698,0.371,
31147.059,1781213870.901,-2.728,0.353,
31148.059,1781213871.901,-2.807,0.347,
31149.059,1781213872.901,-2.843,0.378,
31150.059,1781213873.901,-2.896,0.360,
31151.059,1781213874.901,-2.946,0.362,
31152.059,1781213875.901,-3.002,0.365,
31153.059,1781213876.901,-3.050,0.356,
31154.059,1781213877.901,-3.086,0.380,
31155.059,1781213878.901,-3.131,0.375,
31156.059,1781213879.901,-3.185,0.345,
31157.059,1781213880.901,-3.209,0.307,
31158.059,1781213881.901,-3.288,0.360,
31159.059,1781213882.901,-3.303,0.324,
31160.059,1781213883.901,-3.298,0.414,
31161.059,1781213884.901,-3.205,0.341,
31162.059,1781213885.901,-3.184,0.393,
31163.060,1781213886.901,-3.094,0.342,
31164.060,1781213887.901,-3.063,0.375,
31165.060,1781213888.901,-3.006,0.402,
31166.060,1781213889.901,-2.942,0.383,
31167.060,1781213890.901,-2.916,0.357,
31168.060,1781213891.901,-2.888,0.385,
31169.060,1781213892.901,-2.829,0.378,
31170.060,1781213893.901,-2.794,0.352,
31171.060,1781213894.901,-2.756,0.358,
31172.060,1781213895.901,-2.749,0.391,
31173.061,1781213896.901,-2.691,0.384,
31174.061,1781213897.901,-2.648,0.372,
31175.061,1781213898.901,-2.625,0.403,
31176.061,1781213899.901,-2.620,0.351,
31177.061,1781213900.901,-2.616,0.466,
31178.061,1781213901.901,-2.561,0.391,
31179.061,1781213902.901,-2.540,0.332,
31180.061,1781213903.901,-2.530,0.401,
31181.061,1781213904.901,-2.525,0.375,
31182.061,1781213905.901,-2.524,0.397,
31183.061,1781213906.901,-2.507,0.357,
31184.062,1781213907.901,-2.486,0.370,
31185.062,1781213908.901,-2.443,0.380,
31186.062,1781213909.901,-2.460,0.360,
31187.062,1781213910.901,-2.409,0.356,
31188.062,1781213911.901,-2.441,0.273,
31189.062,1781213912.901,-2.445,0.344,
31190.062,1781213913.901,-2.448,0.352,
31191.062,1781213914.901,-2.430,0.378,
31192.062,1781213915.901,-2.431,0.378,
31193.062,1781213916.901,-2.447,0.386,
31194.062,1781213917.901,-2.470,0.364,
31195.062,1781213918.901,-2.465,0.365,
31196.062,1781213919.901,-2.465,0.348,
31197.062,1781213920.901,-2.466,0.411,
31198.062,1781213921.901,-2.523,0.394,
31199.062,1781213922.901,-2.500,0.362,
31200.063,1781213923.901,-2.479,0.323,
31201.063,1781213924.901,-2.501,0.351,
31202.063,1781213925.901,-2.522,0.359,
31203.063,1781213926.901,-2.519,0.323,
31204.063,1781213927.901,-2.573,0.394,
31205.063,1781213928.901,-2.537,0.355,
31206.063,1781213929.901,-2.579,0.366,
31207.063,1781213930.901,-2.587,0.414,
31208.063,1781213931.901,-2.611,0.364,
31209.063,1781213932.901,-2.615,0.388,
31210.063,1781213933.901,-2.631,0.381,
31211.063,1781213934.901,-2.671,0.388,
31212.063,1781213935.901,-2.683,0.372,
31213.063,1781213936.901,-2.688,0.359,
31214.063,1781213937.901,-2.735,0.393,
31215.063,1781213938.901,-2.747,0.379,
31216.063,1781213939.901,-2.748,0.282,
31217.063,1781213940.901,-2.787,0.360,
31218.063,1781213941.901,-2.814,0.387,
31219.063,1781213942.901,-2.830,0.373,
31220.063,1781213943.901,-2.849,0.371,
31221.063,1781213944.901,-2.850,0.398,
31222.063,1781213945.901,-2.899,0.385,
31223.063,1781213946.901,-2.924,0.365,
31224.063,1781213947.901,-2.942,0.416,
31225.064,1781213948.901,-2.963,0.340,
31226.064,1781213949.901,-2.972,0.425,
31227.064,1781213950.901,-2.957,0.422,
31228.064,1781213951.901,-3.053,0.430,
31229.064,1781213952.901,-3.075,0.366,
31230.064,1781213953.901,-3.073,0.364,
31231.064,1781213954.901,-3.120,0.379,
31232.064,1781213955.901,-3.134,0.410,
31233.064,1781213956.901,-3.186,0.382,
31234.064,1781213957.901,-3.209,0.371,
